id,section_code,section_ref,subsection_title,clause_ref,subclause_ref,clause_title,clause_text,clause_type,order_in_section
M27,M,Joinery,,M27,,Draining-boards and,(a) Draining-boards shall be given in square metres stating the thickness and the number.,clause,40
M28,M,Joinery,,M28,,Fittings,(a) Fittings and fixtures (e.g. cupboards; tables; work-benches; and counters; dressers;,clause,41
M29,M,Joinery,,M29,,Applied coverings,"(a) Applied coverings (e.g., plastics subject to clause 25 (a) hereof) shall be given in square",clause,42
M30,M,Joinery,,M30,,Staircases generally,Work in staircases shall be given under an appropriate heading.,clause,43
M31,M,Joinery,,M31,,Landings,(a) Landings shall be given in square metres stating the thickness and the method of jointing.,clause,44
M32,M,Joinery,,M32,,Treads and risers,(a) Treads and risers (grouped together) shall be given in square metres stating the thickness,clause,45
M33,M,Joinery,,M33,,Strings apron-linings,"Strings, apron-linings, cappings and applied mouldings shall each be given separately in linear metres",clause,46
M34,M,Joinery,,M34,,Handrails,"(a) Handrails shall be given in linear metres stating the size. Curved handrails, ramped",clause,47
M35,M,Joinery,,M35,,Balusters and newels,(a) Balusters shall be enumerated stating the size and the length. Framed ends and housed,clause,48
M36,M,Joinery,,M36,,Standard units,Stock-pattern units and standard units (eg doors; casement windows; double-hung sash windows;,clause,49
M37,M,Joinery,,M37,,Plugging,"Plugging to concrete, brickwork, blockwork, and stonework (grouped together and irrespective of the",clause,50
M38,M,Joinery,,M38,,Holes in Timber,(a) Holes and countersunk holes for bolts and the like shall each be enumerated separately,clause,51
M39,M,Joinery,,M39,,Ironmongery,(a) Particulars of the following shall be given:-,clause,52
M40,M,Joinery,,M40,,Waterbars,Water bars in sills and the like shall be given in linear metres stating the size. Those bedded in,clause,53
M41,M,Joinery,,M41,,Dowels and cramps,Dowels and cramps shall each be enumerated separately stating the size. Mortices in timber shall be,clause,54
M42,M,Joinery,,M42,,Bolts,Bolts shall be enumerated stating the diameter and length. Nuts and washers shall be given in the,clause,55
N_HEADER,N,Structural Steelwork,,,,,Structural Steelwork,section_header,1
N_SUB_2,N,Structural Steelwork,Grillages and girders,,,,Grillages and girders,subsection,2
N_SUB_3,N,Structural Steelwork,"Stanchions, columns and portal frames",,,,"Stanchions, columns and portal frames",subsection,3
N_SUB_4,N,Structural Steelwork,"Roof members, braces, struts and rails",,,,"Roof members, braces, struts and rails",subsection,4
N_SUB_5,N,Structural Steelwork,Sundries,,,,Sundries,subsection,5
N1,N,Structural Steelwork,,N1,,Structural steelwork,(a) Steelwork shall be grouped as follows and each group with its associated labours shall be,clause,6
N2,N,Structural Steelwork,,N2,,Grillages,(a) Grillages shall be given in kilogrammes.,clause,7
N1,N,Structural Steelwork,,N1,,components classified as Clause,(g) stating the weight-group as Clause N1 (h) hereof.,clause,8
N4,N,Structural Steelwork,,N4,,with the rules for compound girders in Clause,(c) hereof.,clause,9
N3,N,Structural Steelwork,,N3,,Girders,(a) Girders shall be given in kilogrammes.,clause,10
N1,N,Structural Steelwork,,N1,,as Clause,(g) hereof stating the weight group as Clause N1 (h) hereof.,clause,11
N1,N,Structural Steelwork,,N1,,kilogrammes stating the weight-group of the angles as Clause,(h) hereof. Those,clause,12
N4,N,Structural Steelwork,,N4,,Stanchions,(a) Stanchions shall be given in kilogrammes,clause,13
N1,N,Structural Steelwork,,N1,,classified as Clause,(g) hereof stating the weight- group as Clause N1 (h) hereof and the,clause,14
N5,N,Structural Steelwork,,N5,,Solid or tubular,(a) Solid steel columns shall be given in kilogrammes stating the diameter and the number of,clause,15
N6,N,Structural Steelwork,,N6,,Portal frames,Portal frames shall be given in kilogrammes stating the composition and the span.,clause,16
N7,N,Structural Steelwork,,N7,,Roof trusses,"(a) Roof-trusses shall be given in kilogrammes stating the span in stages of 3 metres, the rise",clause,17
N8,N,Structural Steelwork,,N8,,"Gables, hips and","Gable-members, hip-members, valley-members and the like (grouped together) shall be given in",clause,18
N1,N,Structural Steelwork,,N1,,valleys kilograms and classified as Clause,(g) hereof stating the weight group as Clause N1 (h) hereof.,clause,19
N9,N,Structural Steelwork,,N9,,Purlins rails,(a) Purlins and rails shall be given in kilogrammes or alternatively in linear metres and stating,clause,20
N1,N,Structural Steelwork,,N1,,Clause,(g) hereof stating the weight group as Clause N1 (h) hereof.,clause,21
N10,N,Structural Steelwork,,N10,,Braces and struts,"Braces, struts and the like (grouped together) shall be given in kilogrammes and classified as Clause N1",clause,22
N1,N,Structural Steelwork,,N1,,(g) hereof stating the weight-group as Clause,(h) hereof,clause,23
N11,N,Structural Steelwork,,N11,,Fittings,(a) Fittings to unframed steelwork (e.g. caps; bases; splice-plates; cleats; brackets; stiffeners;,clause,24
N12,N,Structural Steelwork,,N12,,Holes,"Holes, countersunk holes and tapped holes which are required for other trades shall each be",clause,25
